dataset_id,premise,positive_hypothesis,negative_hypothesis,correct_polarity
147530,"Pohoří Rincon (o'odhamsky: Cew Doʼag) je významné pohoří východně od Tucsonu v okrese Pima v Arizoně ve Spojených státech. Národní park Skalisté hory (anglicky Rocky Mountain National Park) je národní park ve Spojených státech amerických, který se nachází přibližně 76 km severozápadně od mezinárodního letiště v Denveru v severní části centrálního Colorada, v pohoří Front Range of the Rocky Mountains. Mezi hlavní rysy parku patří hory, vysokohorská jezera a široká škála divoké zvěře v různých klimatických podmínkách a prostředích, od zalesněných lesů po horskou tundru. Skandinávie. Velká část skandinávských hor má klima alpínské tundry.",Skandinávie zahrnuje pohoří.,Skandinávie nezahrnuje pohoří.,P
114739,Antigua a Barbuda. Jméno zemi dal Kryštof Kolumbus v roce 1493 po objevení ostrova na počest Panny Marie La Antigua v sevillské katedrále.,Antigua a Barbuda byla rodištěm Kryštofa Kolumba.,Antigua a Barbuda nebyla rodištěm Kryštofa Kolumba.,N
13210,"Upír je lidová bytost, která se živí tím, že se živí životní esencí (obvykle ve formě krve) živých. V evropském folklóru byli upíři nemrtvé bytosti, které často navštěvovaly své blízké a za života způsobovaly neplechu nebo úmrtí v okolí, které obývaly.",Upíři v evropském folklóru chyběli.,Upíři v evropském folklóru nechyběli.,N
50703,"iPhone 4 je chytrý telefon, který byl navržen a prodáván společností Apple Inc. iPhone 4S (od září 2013 stylizovaný s malým písmenem ""s"" jako iPhone 4s) je chytrý telefon, který navrhla a prodává společnost Apple Inc..","IPhone 4 je chytrý telefon, který vlastní společnost Microsoft.","IPhone 4 není chytrý telefon, který vlastní společnost Microsoft.",N
107928,"Konidela Production Company je indická filmová produkční společnost, kterou založil herec Ram Charan, syn Chiranjeeviho.",Společnost Konidela Production Company pochází z mimoindického prostředí.,Společnost Konidela Production Company nepochází z mimoindického prostředí.,N
47839,"Mandy Moore. Mooreová na sebe poprvé upozornila svým debutovým singlem ""Candy"" z roku 1999, který se umístil na 41. příčce žebříčku Billboard Hot 100. V roce 2012 se Mooreová stala první zpěvačkou, která se dostala do čela hitparády. Poté, co podepsala smlouvu s Epic Records, vydala v roce 1999 své debutové album So Real. Její singl z roku 2000, ""I Wan na Be with You"", se stal její první písní v Top 30 v USA, když se umístil na 24. místě v žebříčku Hot 100. V roce 2012 se Mooreová umístila na 96. místě v žebříčku 100 největších žen v hudbě, který sestavila stanice VH1, a na 63. místě v seznamu nejvíc sexy umělkyň všech dob. Samantha Jo ""Mandy"" Moore (narozena 28. března 1976 v St. Louis ve státě Missouri a vyrůstala v Breckenridge ve státě Colorado) je americká choreografka, která je známá díky své práci v soutěži Dancing with the Stars a v pořadu So You Think You Can Dance, kde se objevila v sériích 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 a 13. V roce 2012 se stala členkou skupiny ""Mandy"".",Mandy Moore se hudební kariéře věnovala.,Mandy Moore se hudební kariéře nevěnovala.,P
37067,"Precious: Base on Nol by Saf (Based on the Novel ""Push"" by Sapphire), nebo jen Precious, je americký dramatický film z roku 2009, který režíroval a koprodukoval Lee Daniels.","Lee Daniels natočil film podle románu ""Push"".","Lee Daniels nenatočil film podle románu ""Push"".",P
55239,"Victor Frankenstein je americký sci-fi fantasy horor z roku 2015, který vychází ze současné adaptace románu Mary Shelleyové Frankenstein z roku 1818.",Victor Frankenstein je pouze romantický film.,Victor Frankenstein není pouze romantický film.,N
175438,"Zápisník smrti. Death Note vycházel poprvé v manga časopise Weekly Shōnen Jump vydavatelství Shueisha od prosince 2003 do května 2006. Televizní anime adaptace se v Japonsku vysílala od 3. října 2006 do 26. června 2007. Série byla adaptována do tří hraných filmů, které byly v Japonsku uvedeny 17. června 2006, 3. listopadu 2006 a 2. února 2008, a do televizního dramatu v roce 2015. Death Note (televizní seriál z roku 2015). Drama mělo premiéru na televizní stanici NTV 5. července 2015. Death Note je připravovaný americký nadpřirozený thriller režiséra Adama Wingarda natočený podle stejnojmenné manga série Tsugumi Ohby a Takešiho Obaty.","Death Note je japonský televizní dramatický seriál, který se poprvé vysílal v roce 2015.","Death Note není japonský televizní dramatický seriál, který se poprvé vysílal v roce 2015.",P
218114,"Indický národní kongres. Kongres byl založen v roce 1885 a vedl Indii k nezávislosti na Velké Británii a silně ovlivnil další protikoloniální nacionalistická hnutí v britském impériu. Byl založen v Bombaji koncem prosince 1885, v době, kdy v Indii vládl britský Rádž. Od konce 19. století a zejména po roce 1920 se Kongres pod vedením Mahátmy Gándhího stal hlavním vůdcem indického hnutí za nezávislost, které mělo více než 15 milionů členů a přes 70 milionů účastníků.","Indický národní kongres byl založen v roce 1885, v době britského rádže.","Indický národní kongres nebyl založen v roce 1885, v době britského rádže.",P
